lastName;firstName;birthDate;team-complete-name;team-official-name;role;id;wyId;country;birthCountry;teamId;nationalTeamId;foot;age
Aarons;Rolando;1995-11-16;Hellas Verona FC;Hellas Verona;Midfielder;0;337225;England;Jamaica;3194;null;left;24
Abdel-Shafi;Mohamed;1985-07-01;????;????;Defender;818;119975;Egypt;Egypt;16465;16129;left;34
Abdelhamid Soliman;Mahmoud Abdul Monem;1994-04-13;????;????;Midfielder;818;119932;Egypt;Egypt;16469;16129;right;25
Achahbar;Karim;1996-01-03;????;????;Forward;504;260001;Morocco;France;null;null;left;23
Acosta Zamora;Jhonny;1983-07-21;????;????;Defender;188;125284;Costa Rica;Costa Rica;15036;16871;right;36
Adiceam;Raphaël;1990-07-03;????;????;Goalkeeper;250;29314;France;France;4244;null;;29
Adopo;Michel Ndary;2000-07-19;????;????;Midfielder;250;562846;France;France;3713;null;right;19
Agirretxe Arruti;Imanol;1987-02-24;Real Sociedad de Fútbol;Real Sociedad;Forward;724;3681;Spain;Spain;687;null;right;32
Agolli;Ansi;1982-10-11;????;????;Defender;8;92334;Albania;Albania;12444;null;left;37
Agudo Durán;Manuel;1986-10-15;Sevilla FC;Sevilla;Forward;724;70125;Spain;Spain;680;null;right;33
Ahlinvi;Mattéo;1999-07-02;En Avant Guingamp;Guingamp;Defender;250;501205;France;France;3785;null;left;20
Akpeyi;Daniel;1986-03-08;????;????;Goalkeeper;566;125205;Nigeria;Nigeria;16418;16823;right;33
Al Burayk;Mohammed;1992-09-15;????;????;Defender;682;292954;Saudi Arabia;Saudi Arabia;16467;16521;right;27
Al Jassim;Taisir Jabir;1984-07-25;????;????;Midfielder;682;122577;Saudi Arabia;Saudi Arabia;16474;16521;right;35
Al Khaibri;Abdulmalek Abdullah;1986-03-13;????;????;Midfielder;682;122696;Saudi Arabia;Saudi Arabia;16467;16521;right;33
Al Mayouf;Abdullah Ibrahim;1987-01-23;????;????;Goalkeeper;682;122561;Saudi Arabia;Saudi Arabia;16467;16521;right;32
Al Mogahwi;Hussain;1988-03-24;????;????;Midfielder;682;122918;Saudi Arabia;Saudi Arabia;16465;16521;right;31
