firstName,lastName,wiId,averageScore,minutesPlayed,role
Marvin,Bakalorz,14802,18.510000000000005,2043,Midfielder
Frank,Tsadjout,422086,0,0,Forward
José Antonio,García Rabasco,4243,0,0,Midfielder
Joan,Jordán Moreno,247207,20.32,2417,Midfielder
Álvaro José,Jiménez Guerrero,278383,12.06,533,Midfielder
Javier Alejandro,Mascherano,3355,11.579999999999998,900,Defender
Julio César,Villalba Gaona,363648,0,0,Forward
Moussa,Konaté,97582,37.59,2481,Forward
Hakan Kadir,Balta,32642,1.07,270,Defender
Luke,McCullough,239982,0,0,Defender
Bryan,Ruiz González,11155,0.06999999999999999,270,Midfielder
Juan,Bernat Velasco,3281,7.7,892,Defender
Ramadan,Sobhi,332605,17.44,1260,Midfielder
Rayhaan Rahim Amari,Tulloch,447267,0,0,Forward
Kwame,Yeboah,253456,0,0,Forward
Milan,Gajić,237267,0.48,360,Defender
Thomas,Monconduit,25492,18.42,2991,Midfielder
Andrea,Barzagli,20458,25.05,1888,Defender
Ragnar,Sigurðsson,55983,10.84,676,Defender
Ramazan,Özcan,16411,0,0,Goalkeeper
Roberto,Román Triguero,4326,0.16999999999999998,593,Defender
François,Bellugou,25937,7.180000000000001,2210,Defender
Leonardo,Loria,443962,0,0,Goalkeeper
Sergio,Álvarez Conde,3821,0,0,Goalkeeper
Maxime,Leverbe,298021,0,0,Defender
Kenneth Josiah,Omeruo,12,2.14,180,Defender
Pablo,Ínsua Blanco,6950,0,26,Defender
Mathías,Olivera Miramontes,375771,1.31,101,Defender
Felipe,Dias da Silva dal Belo,20928,30.19,2567,Defender
Nicolás Ezequiel,Gorosito,105024,0,0,Defender
Douglas ,Costa de Souza,105334,80.19,1866,Midfielder
Max,Melbourne,447252,0,0,Defender
Zakaria,Bakkali,239843,9.989999999999998,879,Forward
Tom,Starke,15797,0,0,Goalkeeper
Alejandro,Dos Santos Ferreira,471984,0,0,Goalkeeper
Jacob,Murphy,293686,15.17,1119,Midfielder
Miguel Ángel,Garrido Cifuentes,5327,0,107,Defender
Abdul Rahman,Baba,216077,0.69,33,Defender
Sebastian,Langkamp,15771,19.79,1347,Defender
Anaitz,Arbilla Zabala,4805,24.29,2392,Defender
Nya,Kirby,497988,0,0,Midfielder
Kouakou Hervé,Koffi,408052,0,0,Goalkeeper
Valentin,Rosier,393214,32.1,2775,Defender
Muhannad,Asiri Abu Radiah,122749,0,0,Forward
Marcus Christer,Rohdén,51151,12.27,1624,Midfielder
Mahdi,Camara,426712,0,0,Midfielder
Lys,Mousset,245813,7.39,551,Forward
Théo,Pellenard,27958,6.580000000000001,1404,Defender
Eloi,Amagat Arimany,167104,0,8,Midfielder
Aiden,McGeady,101666,1.22,39,Midfielder
M'Baye Babacar,Niang,25898,39.20000000000001,1774,Forward
Angelo,Obinze Ogbonna,21100,32.84,2970,Defender
Héctor,Hernández Ortega,6925,0,0,Defender
Suat,Serdar,302600,22.029999999999998,1698,Midfielder
Gabriel Moisés,Antunes da Silva,21550,10.06,2074,Defender
Manuel Alejandro,García Sánchez,7585,18.690000000000005,2432,Midfielder
Tim,Kleindienst,228765,22.150000000000002,1113,Forward
Matteo,Darmian,21095,2.1899999999999995,550,Defender
Neven,Subotić,14801,23.450000000000003,1710,Defender
Brad,Jones,7947,0,0,Goalkeeper
Malcom Filipe,Silva de Oliveira,300485,48.88,2860,Forward
Benjamin,Bourigeaud,228981,26.61,3106,Midfielder
Papakouli,Diop,3704,4.37,1183,Midfielder
Facundo Julián,Píriz González,116345,5.3100000000000005,796,Midfielder
Pietro,Pellegri,481329,2.6599999999999997,277,Forward
Devid Eugene,Bouah,532436,0,0,Defender
Kevin,Kampl,16110,21.78,2047,Midfielder
Rafael,Alcântara do Nascimento,3344,32.5,1046,Midfielder
Vincent,Pajot,25650,15.440000000000001,1315,Midfielder
Marcel,Heller,15695,8.999999999999998,1299,Midfielder
Manuel,Trigueros Muñoz,3542,23.789999999999996,2714,Midfielder
Mário Rui,Silva Duarte,22107,14.950000000000003,2101,Defender
André-Frank,Zambo Anguissa,366401,30.179999999999996,2435,Midfielder
Jayson,Molumby,399579,0,0,Midfielder
Patrick ,van Aanholt,454,18.89,2169,Defender
Marcin,Kamiński,99410,10.17,1073,Defender
Sergio Germán,Romero,20606,0,0,Goalkeeper
Andrej,Kramarić,69411,62.24000000000001,2552,Forward
Scott,McTominay,397174,2.0399999999999996,613,Midfielder
Yussuf,Yurary Poulsen,56274,33.9,1924,Forward
Carl,Stewart,487048,0,0,Midfielder
Gojko,Kačar,14900,3.58,226,Midfielder
Emiliano,Moretti,21279,17.14,1781,Defender
David Luiz,Moreira Marinho,7892,11.5,842,Defender
Luca,Ceppitelli,21639,26.560000000000006,2224,Defender
Manuel,Gulde,19720,22.73,1530,Defender
Albin,Ekdal,20876,21.56,1691,Midfielder
Pierre-Daniel,Nguinda Ndiffon,331916,0,0,Defender
Federico,Palacios Martinez,224484,0,0,Forward
Najib,Gandi,229119,0.5,71,Midfielder
