Nationality,wiId,Name,homeGoals,awayGoals,gameweek0,gameweek1,gameweek2,gameweek3,gameweek4,gameweek5,gameweek6,gameweek7,gameweek8,gameweek9,gameweek10,gameweek11,gameweek12,gameweek13,gameweek14,gameweek15,gameweek16,gameweek17,gameweek18,gameweek19,gameweek20,gameweek21,gameweek22,gameweek23,gameweek24,gameweek25,gameweek26,gameweek27,gameweek28,gameweek29,gameweek30,gameweek31,gameweek32,gameweek33,gameweek34,gameweek35,gameweek36,gameweek37,gamesweekScore0,gamesweekScore1,gamesweekScore2,gamesweekScore3,gamesweekScore4,gamesweekScore5,gamesweekScore6,gamesweekScore7,gamesweekScore8,gamesweekScore9,gamesweekScore10,gamesweekScore11,gamesweekScore12,gamesweekScore13,gamesweekScore14,gamesweekScore15,gamesweekScore16,gamesweekScore17,gamesweekScore18,gamesweekScore19,gamesweekScore20,gamesweekScore21,gamesweekScore22,gamesweekScore23,gamesweekScore24,gamesweekScore25,gamesweekScore26,gamesweekScore27,gamesweekScore28,gamesweekScore29,gamesweekScore30,gamesweekScore31,gamesweekScore32,gamesweekScore33,gamesweekScore34,gamesweekScore35,gamesweekScore36,gamesweekScore37
XEN,1613,Newcastle United,21,18,-1,-1,1,1,1,-1,0,0,1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,-1,0,1,0,-1,0,0,1,0,-1,1,-1,1,1,1,-1,-1,-1,1,0.029069767441860468,0.11627906976744187,0.5523255813953488,0.34883720930232553,0.17441860465116277,0.058139534883720936,0.34883720930232553,0.23255813953488375,0.20348837209302328,0.29069767441860467,0.058139534883720936,0.31976744186046513,0.17441860465116277,0.11627906976744187,0.058139534883720936,0.14534883720930233,0.0,0.23255813953488375,0.6395348837209303,0.11627906976744187,0.0,0.31976744186046513,0.14534883720930233,0.4941860465116279,0.26162790697674415,0.49418604651162784,0.40697674418604657,0.20348837209302328,0.20348837209302326,0.31976744186046513,0.14534883720930233,0.436046511627907,0.6976744186046511,0.4941860465116279,0.17441860465116277,0.0,0.029069767441860468,0.17441860465116277
XEN,1673,Huddersfield Town,16,12,1,1,0,-1,0,0,-1,-1,1,-1,1,-1,-1,-1,-1,1,-1,1,0,0,0,-1,-1,-1,-1,-1,1,1,-1,0,-1,-1,0,1,0,-1,0,-1,0.4651162790697675,0.31976744186046513,0.0,0.11627906976744187,0.20348837209302328,0.14534883720930233,0.0,0.14534883720930233,0.14534883720930233,0.029069767441860468,0.029069767441860468,0.058139534883720936,0.0,0.08720930232558138,0.029069767441860468,0.17441860465116277,0.23255813953488375,0.37790697674418605,0.29069767441860467,0.26162790697674415,0.029069767441860468,0.058139534883720936,0.058139534883720936,0.0,0.0,0.0,0.40697674418604657,0.5813953488372093,0.17441860465116277,0.0,0.029069767441860468,0.058139534883720936,0.029069767441860468,0.029069767441860468,0.23255813953488375,0.11627906976744187,0.20348837209302328,0.0
XWA,10531,Swansea City,17,11,0,-1,1,-1,0,-1,-1,1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,0,-1,1,-1,0,1,1,0,1,-1,1,0,-1,-1,0,0,-1,-1,-1,-1,0.0,0.0,0.20348837209302328,0.0,0.0,0.0,0.0,0.058139534883720936,0.0,0.029069767441860468,0.0,0.029069767441860468,0.0,0.0,0.14534883720930233,0.0,0.0,0.17441860465116277,0.08720930232558138,0.058139534883720936,0.26162790697674415,0.0,0.0,0.058139534883720936,0.058139534883720936,0.0,0.17441860465116277,0.0,0.029069767441860468,0.08720930232558138,0.0,0.0,0.0,0.08720930232558138,0.0,0.0,0.0,0.0
XEN,1659,AFC Bournemouth,26,19,-1,-1,-1,-1,1,-1,0,-1,1,-1,1,1,0,-1,0,0,-1,-1,-1,0,1,0,1,0,1,1,-1,0,0,-1,1,0,0,-1,-1,-1,1,1,0.058139534883720936,0.029069767441860468,0.20348837209302328,0.0,0.6104651162790697,0.40697674418604657,0.23255813953488375,0.029069767441860468,0.37790697674418605,0.11627906976744187,0.26162790697674415,0.26162790697674415,0.26162790697674415,0.0,0.34883720930232553,0.34883720930232553,0.31976744186046513,0.058139534883720936,0.0,0.26162790697674415,0.34883720930232553,0.37790697674418605,0.436046511627907,0.20348837209302328,0.6104651162790697,0.34883720930232553,0.029069767441860468,0.34883720930232553,0.14534883720930233,0.14534883720930233,0.26162790697674415,0.29069767441860467,0.08720930232558138,0.029069767441860468,0.17441860465116277,0.29069767441860467,0.26162790697674415,0.34883720930232553
XEN,1651,Brighton & Hove Albion,24,10,-1,-1,0,1,-1,1,-1,0,1,0,1,0,-1,0,-1,-1,-1,0,1,-1,0,0,-1,-1,0,1,0,1,1,0,-1,-1,0,-1,0,0,1,-1,0.058139534883720936,0.058139534883720936,0.058139534883720936,0.4941860465116279,0.37790697674418605,0.11627906976744187,0.0,0.17441860465116277,0.29069767441860467,0.0,0.29069767441860467,0.11627906976744187,0.029069767441860468,0.058139534883720936,0.0,0.058139534883720936,0.14534883720930233,0.0,0.11627906976744187,0.0,0.14534883720930233,0.5232558139534883,0.0,0.0,0.058139534883720936,0.20348837209302328,0.6104651162790697,0.6686046511627908,0.5232558139534883,0.029069767441860468,0.17441860465116277,0.0,0.14534883720930233,0.029069767441860468,0.20348837209302328,0.08720930232558138,0.20348837209302328,0.08720930232558138
XEN,1646,Burnley,16,20,1,-1,0,1,0,0,1,0,-1,1,1,1,-1,1,-1,1,1,0,-1,0,0,-1,-1,-1,0,0,-1,0,1,1,-1,1,1,1,0,0,-1,-1,0.5813953488372093,0.0,0.26162790697674415,0.08720930232558138,0.23255813953488375,0.0,0.14534883720930233,0.11627906976744187,0.0,0.08720930232558138,0.20348837209302328,0.6395348837209303,0.029069767441860468,0.14534883720930233,0.08720930232558138,0.08720930232558138,0.08720930232558138,0.14534883720930233,0.029069767441860468,0.20348837209302328,0.0,0.058139534883720936,0.0,0.029069767441860468,0.0,0.11627906976744187,0.0,0.08720930232558138,0.40697674418604657,0.5232558139534883,0.029069767441860468,0.37790697674418605,0.17441860465116277,0.11627906976744187,0.029069767441860468,0.0,0.14534883720930233,0.14534883720930233
XEN,1631,Leicester City,25,31,-1,1,-1,-1,0,-1,0,0,1,1,0,-1,0,1,1,1,1,-1,0,-1,-1,1,0,1,-1,0,-1,0,0,1,1,1,-1,-1,0,-1,-1,-1,0.4651162790697675,0.058139534883720936,0.20348837209302328,0.029069767441860468,0.08720930232558138,0.20348837209302328,0.08720930232558138,0.058139534883720936,0.23255813953488375,0.14534883720930233,0.20348837209302326,0.029069767441860468,0.2906976744186046,0.6395348837209303,0.08720930232558138,0.34883720930232553,0.6976744186046511,0.058139534883720936,0.20348837209302328,0.14534883720930233,0.11627906976744187,0.20348837209302328,0.20348837209302328,0.23255813953488375,0.0,0.14534883720930233,0.14534883720930233,0.058139534883720936,0.08720930232558138,0.5232558139534883,0.5523255813953488,0.43604651162790703,0.11627906976744187,0.2616279069767442,0.058139534883720936,0.0,0.17441860465116277,0.4069767441860465
XEN,1633,West Ham United,24,24,-1,-1,-1,1,0,-1,1,0,-1,0,-1,-1,0,-1,-1,1,0,1,-1,0,0,1,1,0,0,-1,1,-1,-1,-1,0,1,0,0,-1,-1,1,1,0.029069767441860468,0.0,0.14534883720930233,0.0,0.0,0.08720930232558138,0.17441860465116277,0.17441860465116277,0.14534883720930233,0.08720930232558138,0.0,0.029069767441860468,0.0,0.029069767441860468,0.436046511627907,0.11627906976744187,0.0,0.5523255813953488,0.058139534883720936,0.2616279069767442,0.029069767441860468,0.43604651162790703,0.5523255813953488,0.029069767441860468,0.058139534883720936,0.029069767441860468,0.4651162790697675,0.11627906976744187,0.029069767441860468,0.0,0.11627906976744187,0.5232558139534883,0.14534883720930233,0.40697674418604657,0.14534883720930233,0.0,0.17441860465116282,0.34883720930232553
XEN,1639,Stoke City,20,15,-1,1,0,0,-1,-1,1,-1,-1,1,0,0,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,0,-1,0,0,0,-1,-1,-1,-1,0,0,0,-1,1,0.029069767441860468,0.37790697674418605,0.37790697674418605,0.14534883720930233,0.029069767441860468,0.029069767441860468,0.029069767441860468,0.0,0.08720930232558138,0.23255813953488375,0.26162790697674415,0.08720930232558138,0.08720930232558138,0.14534883720930233,0.49418604651162784,0.26162790697674415,0.26162790697674415,0.14534883720930233,0.43604651162790703,0.4651162790697675,0.058139534883720936,0.029069767441860468,0.17441860465116277,0.23255813953488375,0.26162790697674415,0.34883720930232565,0.17441860465116277,0.0,0.23255813953488375,0.029069767441860468,0.0,0.11627906976744187,0.20348837209302328,0.31976744186046513,0.20348837209302328,0.058139534883720936,0.0,0.40697674418604657
XEN,1644,Watford,27,17,0,1,0,1,-1,1,0,1,-1,-1,-1,1,1,-1,0,-1,-1,-1,-1,1,-1,-1,0,-1,0,1,-1,0,1,-1,-1,0,-1,-1,0,-1,1,-1,0.11627906976744187,0.17441860465116277,0.0,0.37790697674418605,0.0,0.14534883720930233,0.0,0.058139534883720936,0.0,0.11627906976744187,0.20348837209302328,0.436046511627907,0.29069767441860467,0.0,0.11627906976744187,0.0,0.0,0.029069767441860468,0.0,0.0,0.11627906976744187,0.26162790697674415,0.31976744186046513,0.11627906976744187,0.0,0.29069767441860467,0.0,0.436046511627907,0.23255813953488375,0.0,0.0,0.29069767441860467,0.17441860465116277,0.058139534883720936,0.029069767441860468,0.20348837209302328,0.5232558139534883,0.08720930232558138
