Nationality,wiId,Name,homeGoals,awayGoals,gameweek0,gameweek1,gameweek2,gameweek3,gameweek4,gameweek5,gameweek6,gameweek7,gameweek8,gameweek9,gameweek10,gameweek11,gameweek12,gameweek13,gameweek14,gameweek15,gameweek16,gameweek17,gameweek18,gameweek19,gameweek20,gameweek21,gameweek22,gameweek23,gameweek24,gameweek25,gameweek26,gameweek27,gameweek28,gameweek29,gameweek30,gameweek31,gameweek32,gameweek33,gameweek34,gameweek35,gameweek36,gameweek37,gamesweekScore0,gamesweekScore1,gamesweekScore2,gamesweekScore3,gamesweekScore4,gamesweekScore5,gamesweekScore6,gamesweekScore7,gamesweekScore8,gamesweekScore9,gamesweekScore10,gamesweekScore11,gamesweekScore12,gamesweekScore13,gamesweekScore14,gamesweekScore15,gamesweekScore16,gamesweekScore17,gamesweekScore18,gamesweekScore19,gamesweekScore20,gamesweekScore21,gamesweekScore22,gamesweekScore23,gamesweekScore24,gamesweekScore25,gamesweekScore26,gamesweekScore27,gamesweekScore28,gamesweekScore29,gamesweekScore30,gamesweekScore31,gamesweekScore32,gamesweekScore33,gamesweekScore34,gamesweekScore35,gamesweekScore36,gamesweekScore37
ESP,692,Celta de Vigo,34,25,-1,-1,1,-1,0,1,0,1,-1,-1,1,-1,1,0,-1,-1,1,0,1,1,1,-1,0,-1,1,-1,1,-1,0,0,1,-1,0,0,-1,0,-1,1,0.17441860465116277,0.0,0.17441860465116277,0.08720930232558138,0.17441860465116277,0.436046511627907,0.7848837209302326,0.8430232558139534,0.17441860465116277,0.17441860465116277,0.6686046511627908,0.17441860465116277,0.31976744186046513,0.31976744186046513,0.37790697674418605,0.08720930232558138,0.40697674418604657,0.436046511627907,0.37790697674418605,0.17441860465116277,0.5813953488372093,0.14534883720930233,0.436046511627907,0.058139534883720936,0.6104651162790697,0.26162790697674415,0.436046511627907,0.029069767441860468,0.29069767441860467,0.20348837209302328,0.34883720930232553,0.14534883720930233,0.5232558139534883,0.058139534883720936,0.26162790697674415,0.26162790697674415,0.08720930232558138,0.7267441860465116
ESP,691,Espanyol,20,16,0,-1,-1,1,0,1,-1,0,0,1,-1,-1,1,-1,-1,0,1,1,0,-1,-1,0,0,0,0,1,0,1,-1,0,-1,0,-1,1,0,1,1,1,0.14534883720930233,0.0,0.0,0.5813953488372093,0.0,0.5232558139534883,0.058139534883720936,0.11627906976744187,0.11627906976744187,0.14534883720930233,0.0,0.08720930232558138,0.058139534883720936,0.0,0.11627906976744187,0.37790697674418605,0.23255813953488375,0.26162790697674415,0.0,0.0,0.0,0.11627906976744187,0.26162790697674415,0.0,0.058139534883720936,0.37790697674418605,0.029069767441860468,0.26162790697674415,0.0,0.11627906976744187,0.17441860465116277,0.0,0.0,0.40697674418604657,0.34883720930232553,0.26162790697674415,0.5813953488372093,0.26162790697674415
ESP,696,Deportivo Alav?s,21,19,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,0,-1,1,1,1,-1,1,-1,-1,-1,0,1,1,-1,1,-1,1,1,-1,0.058139534883720936,0.08720930232558138,0.17441860465116277,0.14534883720930233,0.11627906976744187,0.14534883720930233,0.31976744186046513,0.0,0.029069767441860468,0.0,0.14534883720930233,0.08720930232558138,0.14534883720930233,0.20348837209302328,0.5232558139534883,0.0,0.34883720930232553,0.0,0.058139534883720936,0.37790697674418605,0.029069767441860468,0.14534883720930233,0.5523255813953488,0.11627906976744187,0.26162790697674415,0.0,0.11627906976744187,0.0,0.26162790697674415,0.08720930232558138,0.26162790697674415,0.34883720930232553,0.14534883720930233,0.930232558139535,0.058139534883720936,0.8139534883720931,0.11627906976744187,0.0
ESP,695,Levante,25,19,1,0,0,0,1,-1,-1,0,0,0,-1,1,-1,0,-1,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,0,1,1,0,1,-1,1,1,1,1,1,-1,0.11627906976744187,0.0,0.20348837209302328,0.0,0.40697674418604657,0.0,0.0,0.058139534883720936,0.29069767441860467,0.29069767441860467,0.11627906976744187,0.31976744186046513,0.0,0.029069767441860468,0.0,0.0,0.0,0.0,0.058139534883720936,0.0,0.0,0.23255813953488375,0.17441860465116277,0.0,0.0,0.08720930232558138,0.11627906976744187,0.0,0.14534883720930233,0.26162790697674415,0.23255813953488375,0.11627906976744187,0.14534883720930233,0.37790697674418605,0.4941860465116279,0.40697674418604657,0.872093023255814,0.5232558139534883
ESP,698,Getafe,26,16,0,-1,1,-1,0,1,-1,-1,0,1,0,1,-1,1,0,-1,1,-1,1,0,0,0,0,1,-1,1,-1,-1,1,-1,-1,0,1,1,0,1,-1,1,0.0,0.08720930232558138,0.058139534883720936,0.31976744186046513,0.0,0.058139534883720936,0.029069767441860468,0.14534883720930233,0.14534883720930233,0.26162790697674415,0.029069767441860468,0.436046511627907,0.058139534883720936,0.14534883720930233,0.0,0.029069767441860468,0.5232558139534883,0.08720930232558138,0.058139534883720936,0.0,0.0,0.0,0.0,0.34883720930232553,0.0,0.23255813953488375,0.11627906976744187,0.17441860465116277,0.0,0.0,0.0,0.08720930232558138,0.40697674418604657,0.29069767441860467,0.058139534883720936,0.11627906976744187,0.0,0.0
ESP,678,Athletic Club,19,22,0,1,1,-1,-1,0,-1,1,-1,-1,-1,0,0,0,1,0,1,1,0,0,0,-1,0,-1,1,0,-1,1,-1,0,1,-1,0,-1,-1,1,-1,-1,0.0,0.37790697674418605,0.436046511627907,0.23255813953488375,0.29069767441860467,0.5813953488372093,0.31976744186046513,0.0,0.029069767441860468,0.20348837209302328,0.058139534883720936,0.058139534883720936,0.2906976744186046,0.058139534883720936,0.029069767441860468,0.08720930232558138,0.34883720930232553,0.34883720930232553,0.058139534883720936,0.17441860465116277,0.17441860465116277,0.0,0.058139534883720936,0.0,0.26162790697674415,0.0,0.0,0.14534883720930233,0.11627906976744187,0.14534883720930233,0.6976744186046511,0.20348837209302328,0.34883720930232553,0.23255813953488375,0.0,0.4941860465116279,0.0,0.11627906976744187
ESP,679,Atl?tico Madrid,30,28,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,-1,1,1,0,1,1,1,1,1,1,-1,1,-1,1,0,1,-1,0,1,-1,1,0,0.029069767441860468,0.4941860465116279,0.08720930232558138,0.26162790697674415,0.5813953488372093,0.26162790697674415,0.08720930232558138,0.29069767441860467,0.08720930232558138,0.40697674418604657,0.08720930232558138,0.058139534883720936,0.930232558139535,0.436046511627907,0.11627906976744187,0.0,0.11627906976744187,0.23255813953488375,0.34883720930232553,0.4651162790697675,0.34883720930232553,0.14534883720930233,0.14534883720930233,0.37790697674418605,0.6104651162790697,0.7558139534883721,0.0,0.29069767441860467,0.0,0.11627906976744187,0.40697674418604657,0.6395348837209303,0.17441860465116277,0.08720930232558138,0.14534883720930233,0.0,0.29069767441860467,0.40697674418604657
ESP,674,Valencia,36,29,1,0,0,0,1,1,1,1,1,1,1,1,0,-1,1,-1,-1,1,1,-1,-1,-1,1,1,1,0,1,1,1,1,1,-1,-1,0,0,-1,1,1,0.34883720930232553,0.4651162790697675,0.0,0.34883720930232553,0.8430232558139534,0.29069767441860467,0.4651162790697675,0.5523255813953488,0.7267441860465116,0.20348837209302328,0.34883720930232553,0.14534883720930233,0.17441860465116277,0.17441860465116277,0.26162790697674415,0.0,0.0,0.40697674418604657,0.2906976744186046,0.17441860465116277,0.11627906976744187,0.0,0.34883720930232553,0.058139534883720936,0.37790697674418605,0.40697674418604657,0.26162790697674415,0.6104651162790697,0.37790697674418605,0.0,0.26162790697674415,0.2616279069767442,0.029069767441860468,0.29069767441860467,0.0,0.0,0.2616279069767442,0.40697674418604657
ESP,675,Real Madrid,54,40,1,0,0,1,-1,1,1,1,1,-1,1,0,1,0,1,1,-1,0,-1,1,1,0,1,1,1,-1,1,1,1,1,0,1,0,-1,1,0,1,0,0.8430232558139537,0.20348837209302328,0.08720930232558138,0.6395348837209303,0.20348837209302328,0.5232558139534883,0.6686046511627908,0.37790697674418605,0.6104651162790697,0.29069767441860467,0.40697674418604657,0.17441860465116277,0.29069767441860467,0.029069767441860468,0.5813953488372093,0.4651162790697675,0.029069767441860468,0.5232558139534883,0.058139534883720936,0.9011627906976745,0.26162790697674415,0.4941860465116279,0.5523255813953488,0.5232558139534884,0.5813953488372093,0.17441860465116277,0.4941860465116279,0.37790697674418605,0.9011627906976745,0.436046511627907,0.31976744186046513,0.5523255813953488,0.20348837209302328,0.17441860465116277,0.37790697674418605,0.4941860465116279,0.7558139534883721,0.4651162790697675
ESP,676,Barcelona,53,46,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,-1,1,0.20348837209302328,0.5232558139534883,1.0465116279069766,0.4651162790697675,0.7558139534883721,0.34883720930232553,0.6976744186046511,0.436046511627907,0.436046511627907,0.37790697674418605,0.4941860465116279,0.6395348837209303,0.436046511627907,0.40697674418604657,0.6686046511627908,0.7558139534883721,0.7267441860465116,0.6976744186046511,0.6395348837209303,0.9593023255813955,0.34883720930232553,0.08720930232558138,0.23255813953488375,0.5232558139534883,1.1337209302325582,0.26162790697674415,0.31976744186046513,0.7267441860465116,0.8430232558139534,0.436046511627907,0.6104651162790697,0.40697674418604657,0.31976744186046513,0.6976744186046511,1.1627906976744187,0.37790697674418605,0.31976744186046513,0.14534883720930233
ESP,714,Las Palmas,15,9,-1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,0,-1,-1,-1,1,-1,1,0,-1,0,0,-1,-1,0,-1,-1,-1,-1,-1,0,-1,-1,-1,0.029069767441860468,0.14534883720930233,0.6395348837209303,0.40697674418604657,0.0,0.4941860465116279,0.058139534883720936,0.17441860465116277,0.08720930232558138,0.17441860465116277,0.11627906976744187,0.20348837209302328,0.058139534883720936,0.29069767441860467,0.11627906976744187,0.26162790697674415,0.31976744186046513,0.11627906976744187,0.11627906976744187,0.23255813953488375,0.14534883720930233,0.29069767441860467,0.23255813953488375,0.029069767441860468,0.0,0.0,0.11627906976744187,0.0,0.0,0.11627906976744187,0.17441860465116277,0.058139534883720936,0.0,0.0,0.08720930232558138,0.058139534883720936,0.058139534883720936,0.29069767441860467
ESP,712,Legan?s,19,15,1,1,-1,-1,0,1,0,1,1,-1,-1,-1,-1,1,-1,-1,0,1,-1,0,1,0,-1,-1,0,-1,1,-1,1,-1,-1,1,-1,0,-1,-1,-1,1,0.29069767441860467,0.34883720930232553,0.20348837209302326,0.058139534883720936,0.20348837209302328,0.26162790697674415,0.08720930232558138,0.40697674418604657,0.0,0.0,0.058139534883720936,0.058139534883720936,0.0,0.0,0.029069767441860468,0.029069767441860468,0.0,0.20348837209302326,0.14534883720930233,0.058139534883720936,0.26162790697674415,0.0,0.0,0.14534883720930233,0.08720930232558138,0.029069767441860468,0.37790697674418605,0.058139534883720936,0.5523255813953488,0.029069767441860468,0.17441860465116282,0.29069767441860467,0.0,0.11627906976744187,0.029069767441860468,0.0,0.14534883720930233,0.17441860465116277
ESP,701,Eibar,26,18,1,-1,-1,1,-1,-1,-1,0,-1,0,-1,1,1,1,0,1,1,1,-1,0,0,1,1,-1,-1,1,0,-1,-1,0,-1,-1,1,-1,0,1,1,0,0.17441860465116277,0.029069767441860468,0.029069767441860468,0.0,0.29069767441860467,0.0,0.0,0.08720930232558138,0.029069767441860468,0.0,0.26162790697674415,0.5232558139534883,0.31976744186046513,0.11627906976744187,0.0,0.0,0.4651162790697675,0.29069767441860467,0.0,0.0,0.0,0.23255813953488375,0.11627906976744187,0.0,0.058139534883720936,0.029069767441860468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26162790697674415,0.17441860465116277,0.20348837209302328
ESP,756,Girona,26,24,0,1,-1,-1,0,-1,0,-1,1,1,1,0,0,-1,1,1,-1,-1,1,0,0,1,-1,1,-1,1,1,1,-1,0,-1,-1,1,-1,0,-1,-1,1,0.26162790697674415,0.058139534883720936,0.029069767441860468,0.0,0.0,0.08720930232558138,0.37790697674418605,0.17441860465116277,0.20348837209302328,0.29069767441860467,0.26162790697674415,0.08720930232558138,0.37790697674418605,0.14534883720930233,0.29069767441860467,0.29069767441860467,0.0,0.34883720930232553,0.40697674418604657,0.11627906976744187,0.0,0.11627906976744187,0.26162790697674415,0.20348837209302328,0.14534883720930233,0.23255813953488375,0.37790697674418605,0.08720930232558138,0.31976744186046513,0.14534883720930233,0.0,0.0,0.11627906976744187,0.058139534883720936,0.0,0.20348837209302328,0.058139534883720936,0.26162790697674415
ESP,677,Deportivo La Coru?a,22,16,-1,0,-1,-1,1,-1,1,0,-1,1,-1,-1,0,-1,1,-1,-1,0,-1,-1,0,-1,-1,-1,0,-1,0,-1,0,-1,1,1,0,0,-1,0,-1,-1,0.23255813953488375,0.34883720930232553,0.11627906976744187,0.08720930232558138,0.29069767441860467,0.14534883720930233,0.34883720930232553,0.26162790697674415,0.08720930232558138,0.17441860465116277,0.08720930232558138,0.20348837209302328,0.20348837209302328,0.0,0.029069767441860468,0.08720930232558138,0.14534883720930233,0.31976744186046513,0.08720930232558138,0.20348837209302328,0.14534883720930233,0.0,0.11627906976744187,0.0,0.17441860465116277,0.0,0.11627906976744187,0.08720930232558138,0.0,0.0,0.37790697674418605,0.29069767441860467,0.23255813953488375,0.14534883720930233,0.31976744186046513,0.029069767441860468,0.37790697674418605,0.34883720930232553
