algorithm,nClusters,xCen,yCen
MDS,2,-1.8207365320048154,0.3291081097442549
MDS,2,1.4896935261857585,-0.2692702716089358
MDS,3,-0.6220889813626206,-1.051066826717965
MDS,3,-2.472616111125649,1.56834221082523
MDS,3,1.8583970369254454,0.26689572130535
MDS,4,-1.2992328687081485,-0.6622791711205254
MDS,4,0.5064841642132589,-1.699046252713698
MDS,4,-2.472616111125649,1.56834221082523
MDS,4,1.8583970369254454,0.26689572130535
MDS,5,0.5064841642132589,-1.699046252713698
MDS,5,-2.472616111125649,1.56834221082523
MDS,5,3.0181355577485434,0.6324509085680018
MDS,5,-1.2992328687081485,-0.6622791711205254
MDS,5,1.4718175299844127,0.1450439922177995
PCA,2,1.9363054628588523,0.21383092043107954
PCA,2,-1.5842499241572425,-0.17495257126179256
PCA,3,1.161561046492231,0.8459109269009215
PCA,3,-1.5842499241572425,-0.17495257126179256
PCA,3,3.485794295592095,-1.0503290925086044
PCA,4,-1.3306922909684402,1.4169644612324295
PCA,4,3.485794295592095,-1.0503290925086044
PCA,4,1.161561046492231,0.8459109269009215
PCA,4,-1.6793340366030436,-0.7719214584471257
PCA,5,1.161561046492231,0.8459109269009215
PCA,5,-1.3306922909684402,1.4169644612324295
PCA,5,-2.8252168061446827,-1.286742323383525
PCA,5,-1.297373113422497,-0.600314503468326
PCA,5,3.485794295592095,-1.0503290925086044
tSNE,2,4.06406931877137,33.16306247711182
tSNE,2,-60.016372108459464,-29.851235389709473
tSNE,3,-43.49954114641462,51.727670942034045
tSNE,3,-64.78833198547363,-42.59032331194196
tSNE,3,33.08201400438945,-5.1405270894368496
tSNE,4,-27.953466796875002,59.31611366271973
tSNE,4,-22.827348788579307,-52.80389372507731
tSNE,4,44.40777826309204,14.318867206573483
tSNE,4,-92.08454284667968,-0.7828807830810567
tSNE,5,-3.418776273727417,-45.742181777954094
tSNE,5,-27.953466796875002,59.31611366271973
tSNE,5,-84.5036112467448,-48.80294227600097
tSNE,5,-91.94091033935548,23.060185750325516
tSNE,5,43.363509496053055,29.406354268391922
