teamName,mds_score1,mds_score2,MDS_2cluster,MDS_3cluster,MDS_4cluster,MDS_5cluster,pca_score1,pca_score2,PCA_2cluster,PCA_3cluster,PCA_4cluster,PCA_5cluster,tsne_score1,tsne_score2,tSNE_2cluster,tSNE_3cluster,tSNE_3cluster,tSNE_4cluster,tSNE_5cluster
Newcastle United,-1.296024803738979,-0.08816909614602855,0,0,2,3,-0.7459742098084701,-1.1096308139286466,1,0,0,0,4.3927474,-7.290714,0,2,0,0
Huddersfield Town,-1.1927037992636518,-1.2393915600537169,0,0,2,3,-1.83175469599051,-0.6726016564612259,1,0,0,0,-22.9708,-20.56719,0,1,2,3
Swansea City,-1.9440751928949354,-1.5120270680362393,0,0,2,3,-2.2567739823212483,-1.1391388886622562,1,0,0,0,-24.832071,-26.101421,0,1,2,3
AFC Bournemouth,-0.36527058568674725,-0.638910375323168,0,0,2,0,-0.7736444630775371,-0.06291529413478016,1,0,2,2,1.1441789,0.24879676,0,2,0,0
Brighton,0.30352924125080005,-2.0350249393232236,0,0,0,0,-1.6820160899957055,0.7099119826968479,1,0,2,2,-28.725935,-14.23256,0,1,2,3
Burnley,0.8586147783492752,-0.6570778685552123,0,0,0,0,-0.785842715413943,0.8347596620856028,1,0,2,2,-4.1980104,12.053844,0,2,3,4
Leicester City,0.5200940497010951,0.03711944960058471,0,0,0,0,-0.1368631026355269,0.5760360370413348,1,0,2,2,16.177124,9.719941,1,2,3,2
West Ham United,0.0237502812564802,-1.0940864080618302,0,0,0,0,-1.092979159533357,0.4553618472183017,1,0,2,2,9.888674,4.957903,0,2,3,2
Stoke City,-0.7862090458826231,-1.8200503821138896,0,0,2,3,-2.071759462102024,-0.11769529062211634,1,0,0,0,-16.078882,-16.114708,0,1,2,3
Watford,-1.2777839110354776,-0.7371953025689498,0,0,2,3,-1.0807257034153228,-0.8460208452866681,1,0,0,0,-1.3472154,-8.898105,0,2,0,0
Everton,0.3535611762523284,-0.9254520594545053,0,0,0,0,-0.7195960073985694,0.4117175092749224,1,0,2,2,-7.2555776,5.7151027,0,2,0,4
West Bromwich,-0.6021317546698035,-2.2914278271476443,0,0,2,3,-2.3817063890173418,0.0954369060483595,1,0,0,0,-17.31136,-24.59232,0,1,2,3
Manchester City,1.8982429342576443,5.269529575031221,1,1,3,4,6.158416597713306,-0.24072232533438734,0,2,3,3,39.59168,34.86702,1,0,1,1
Tottenham Hotspur,1.0449871401314028,2.2067018689097337,1,2,1,2,2.544002077324366,0.3227913486016891,0,1,1,1,35.064316,27.27359,1,0,1,1
Crystal Palace,-0.4771132791407133,-0.7828422767821741,0,0,2,0,-0.7928738571911348,-0.18775657838422535,1,0,2,2,-5.2295165,-2.017911,0,2,0,0
Southampton,0.6425479188725942,-2.099948088314654,0,0,0,0,-1.9137403502831123,1.1810355065655067,1,0,2,2,-14.489523,-5.117322,0,1,0,0
Liverpool,2.4074087442816072,1.4444944249253793,1,2,1,1,2.4627518615030284,1.801739507481632,0,1,1,4,30.468174,32.115173,1,0,1,1
Chelsea,0.4536226224184022,2.255442654611634,1,2,1,2,2.101269565457739,-0.17587847174484297,0,1,1,1,29.940914,23.371778,1,0,1,1
Manchester United,0.3547832939053336,2.926236429798576,1,2,1,2,2.9044107414280314,-0.41311910929502826,0,1,1,1,36.031578,20.97556,1,0,1,1
Arsenal,-0.9198298083640314,1.7820788490041075,1,2,1,2,2.095399344757326,-1.4233110331600223,0,1,1,1,-1.4243314,19.222265,0,2,3,4
